"OBJ.VEGOBJEKT-ID";"OBJ.TYPE-ID";"OBJ.VERSJON";"MET.FØRSTE FOREKOMST";"MET.OPPRETTET DATO";"OBJ.STARTDATO";"OBJ.SLUTTDATO";"OBJ.SIST MODIFISERT";"EGS.BOMSTASJONSTYPE.9390";"EGS.NAVN BOMPENGEANLEGG.10714";"EGS.NAVN BOMSTASJON.1078";"EGS.VEDTATT TIL ÅR.9413";"EGS.LINK TIL BOMSTASJON.10715";"EGS.INNKREVNINGSRETNING.9414";"EGS.BOMSTASJON_ID.9595";"EGS.OPERATØR_ID.11883";"EGS.TAKST LITEN BIL (KR).1820";"EGS.TAKST STOR BIL (KR).1819";"EGS.TIDSDIFFERENSIERT TAKST.9409";"EGS.RUSHTIDSTAKST LITEN BIL (KR).9410";"EGS.RUSHTIDSTAKST STOR BIL (KR).9411";"EGS.RUSHTID MORGEN, FRA.9407";"EGS.RUSHTID MORGEN, TIL.9408";"EGS.RUSHTID ETTERMIDDAG, FRA.9405";"EGS.RUSHTID ETTERMIDDAG, TIL.9406";"EGS.TIMESREGEL.9412";"EGS.TIMESREGEL, VARIGHET (MIN).10952";"EGS.TIMESREGEL, PASSERINGSGRUPPE.10951";"EGS.GRATIS GJENNOMKJØRING VED HC-BRIKKE.9404";"EGS.ETABLERINGSÅR.10271";"EGS.TILLEGGSINFORMASJON.11565";"EGS.PROSJEKTREFERANSE.11051";"EGS.PROSJEKTINTERNOBJEKT_ID.12289";"EGS.EIER.7992";"EGS.VEDLIKEHOLDSANSVARLIG.5799";"EGS.GEOMETRI, PUNKT.4752";"LOK.KOMMUNE";"LOK.KOMMUNENUMMER";"LOK.FYLKE";"LOK.FYLKESNUMMER";"LOK.RIKSVEGRUTE";"LOK.KONTRAKTSOMRÅDE";"VSR.VEGSYSTEMREFERANSE";"VSR.VEGKATEGORI";"VSR.FASE";"VSR.VEGNUMMER";"VSR.STREKNING";"VSR.DELSTREKNING";"VSR.FRA_METER";"VSR.TIL_METER";"LOK.VEGLENKESEKVENSID";"LOK.STARTPOSISJON";"LOK.SLUTTPOSISJON";"LOK.RETNING";"LOK.SIDEPOSISJON";"LOK.KJØREFELT";"LOK.TYPEVEG";"LOK.LENGDE";"REL.FORELDER";"REL.BARN";"GEO.GEOMETRI";"GEO.HØYDEREFERANSE";"GEO.DATAFANGSTDATO";"GEO.DATAFANGSTMETODE";"GEO.NØYAKTIGHET";"GEO.SYNBARHET";"GEO.DATAFANGSTMETODEHØYDE";"GEO.H-NØYAKTIGHET";"GEO.MAX-AVVIK"
"929790753";"45";"7";"1";"";"2025-01-02";"";"2025-06-16T22:36:40";"AutoPASS + automatisk";"Fjellinjen AS";"Avkjøring E6 til strømsveien";"";"www.fjellinjen.no";"Med metrering";"235";"100140";"40";"113";"Ja";"46";"150";"06:30:00";"08:59:00";"15:00:00";"16:59:00";"Første passering gjelder";"60";"230301";"Ja";"2019";"";"109416";"";"Stat, Statens vegvesen";"Kommune";"POINT (266495.068 6649883.44)";"Oslo";"301";"Oslo";"3";"";"";"KV17126 S2D1 m80";"Kommunal veg";"Eksisterende";"17126";"2";"1";"80,267";"80,267";"605492";"0,11913336";"0,11913336";"WITH";"";"";"enkelBilveg";"0";"";"";"POINT Z(266495.056 6649883.255 92.44)";"";"";"ukj";"100";"99";"";"-1";"-1"
"929790754";"45";"7";"1";"";"2025-01-02";"";"2025-06-16T22:36:40";"AutoPASS + automatisk";"Fjellinjen AS";"Blindernveien";"";"www.fjellinjen.no";"Begge retninger";"203";"100140";"40";"113";"Ja";"46";"150";"06:30:00";"08:59:00";"15:00:00";"16:59:00";"Første passering gjelder";"60";"230301";"Ja";"2019";"";"109416";"";"Stat, Statens vegvesen";"Kommune";"POINT (261166.514 6652049.886)";"Oslo";"301";"Oslo";"3";"";"";"KV10736 S1D1 m340";"Kommunal veg";"Eksisterende";"10736";"1";"1";"339,546";"339,546";"603696";"0,36324126";"0,36324126";"WITH";"";"";"enkelBilveg";"0";"";"";"POINT Z(261166.155 6652049.594 68.539)";"";"";"ukj";"100";"99";"";"-1";"-1"
"929790755";"45";"7";"1";"";"2025-01-02";"";"2025-06-16T22:36:40";"AutoPASS + automatisk";"Fjellinjen AS";"Fagerheimgata Nord";"";"www.fjellinjen.no";"Med metrering";"213";"100140";"40";"113";"Ja";"46";"150";"06:30:00";"08:59:00";"15:00:00";"16:59:00";"Første passering gjelder";"60";"230301";"Ja";"2019";"";"109416";"";"Stat, Statens vegvesen";"Kommune";"POINT (263664.227 6651209.584)";"Oslo";"301";"Oslo";"3";"";"";"KV4 S2D1 m578";"Kommunal veg";"Eksisterende";"4";"2";"1";"578,137";"578,137";"625369";"0,83449556";"0,83449556";"WITH";"";"";"kanalisertVeg";"0";"";"";"POINT Z(263667.167 6651206.697 53.492)";"";"";"ukj";"100";"99";"";"-1";"-1"
"929790756";"45";"7";"1";"";"2025-01-02";"";"2025-06-16T22:36:40";"AutoPASS + automatisk";"Fjellinjen AS";"E6 Abildsø";"";"www.fjellinjen.no";"Begge retninger";"45";"100140";"40";"113";"Ja";"46";"150";"06:30:00";"08:59:00";"15:00:00";"16:59:00";"Første passering gjelder";"60";"230301";"Ja";"2019";"";"109416";"";"Stat, Statens vegvesen";"Kommune";"POINT (266102.491 6645194.601)";"Oslo";"301";"Oslo";"3";"RUTE1";"9104 Oslo-Gardermoen 2021-2026,9151 Stor-Oslo veglys 2023-2027,9161 Oslo Elektro 2023-2028,9165 Stor Oslo Trafikksignalanlegg 2023-2028,Rekkverksvedlikehold Øst 2 Oslo Viken 2025-2026,Vegoppmerking Oslo 2024-2026,9104 Oslo-Gardermoen 2026-2031";"EV6 S15D1 m7091";"Europaveg";"Eksisterende";"6";"15";"1";"7090,931";"7090,931";"625212";"0,73561473";"0,73561473";"WITH";"";"";"kanalisertVeg";"0";"";"";"POINT Z(266103.159 6645195.005 115.971)";"";"";"ukj";"100";"99";"";"-1";"-1"
"929790757";"45";"7";"1";"";"2025-04-03";"";"2025-06-16T22:36:40";"AutoPASS + automatisk";"Fjellinjen AS";"E18 Bygdøylokket";"";"www.fjellinjen.no";"Med metrering";"631";"100140";"40";"113";"Ja";"46";"150";"06:30:00";"08:59:00";"15:00:00";"16:59:00";"Første passering gjelder";"60";"230301";"Ja";"2019";"";"109416";"";"Stat, Statens vegvesen";"Kommune";"POINT (258875.301 6650157.119)";"Oslo";"301";"Oslo";"3";"RUTE3";"9104 Oslo-Gardermoen 2021-2026,9151 Stor-Oslo veglys 2023-2027,9161 Oslo Elektro 2023-2028,9165 Stor Oslo Trafikksignalanlegg 2023-2028,Rekkverksvedlikehold Øst 2 Oslo Viken 2025-2026,Vegoppmerking Oslo 2024-2026,9104 Oslo-Gardermoen 2026-2031";"EV18 S55D1 m2896 KD4 m71";"Europaveg";"Eksisterende";"18";"55";"1";"70,691";"70,691";"625338";"0,26631026";"0,26631026";"WITH";"";"";"rampe";"0";"";"";"POINT Z(258875.12 6650155.792 2.045)";"";"";"ukj";"100";"99";"";"-1";"-1"
"929790759";"45";"7";"1";"";"2025-01-02";"";"2025-06-16T22:36:40";"AutoPASS + automatisk";"Fjellinjen AS";"Smalvollveien";"";"www.fjellinjen.no";"Begge retninger";"236";"100140";"40";"113";"Ja";"46";"150";"06:30:00";"08:59:00";"15:00:00";"16:59:00";"Første passering gjelder";"60";"230301";"Ja";"2019";"";"109416";"";"Stat, Statens vegvesen";"Kommune";"POINT (267690.491 6650256.379)";"Oslo";"301";"Oslo";"3";"";"";"KV16667 S2D1 m90";"Kommunal veg";"Eksisterende";"16667";"2";"1";"89,685";"89,685";"605351";"0,52640376";"0,52640376";"WITH";"";"";"enkelBilveg";"0";"";"";"POINT Z(267690.36 6650256.438 95.193)";"";"";"ukj";"100";"99";"";"-1";"-1"
"929790762";"45";"7";"1";"";"2025-01-02";"";"2025-06-16T22:36:40";"AutoPASS + automatisk";"Fjellinjen AS";"Rv 4 Linderud";"";"www.fjellinjen.no";"Begge retninger";"38";"100140";"40";"113";"Ja";"46";"150";"06:30:00";"08:59:00";"15:00:00";"16:59:00";"Første passering gjelder";"60";"230301";"Ja";"2019";"";"109416";"";"Stat, Statens vegvesen";"Kommune";"POINT (267790.412 6652568.594)";"Oslo";"301";"Oslo";"3";"RUTE6A";"9104 Oslo-Gardermoen 2021-2026,9151 Stor-Oslo veglys 2023-2027,9161 Oslo Elektro 2023-2028,9165 Stor Oslo Trafikksignalanlegg 2023-2028,Rekkverksvedlikehold Øst 2 Oslo Viken 2025-2026,Vegoppmerking Oslo 2024-2026,9104 Oslo-Gardermoen 2026-2031";"RV4 S1D1 m4017";"Riksveg";"Eksisterende";"4";"1";"1";"4017,446";"4017,446";"625367";"0,40255956";"0,40255956";"WITH";"";"";"kanalisertVeg";"0";"";"";"POINT Z(267789.722 6652570.549 165.4)";"";"";"ukj";"100";"99";"";"-1";"-1"
"929790763";"45";"7";"1";"";"2025-01-02";"";"2025-06-16T22:36:40";"AutoPASS + automatisk";"Fjellinjen AS";"Sandakerveien";"";"www.fjellinjen.no";"Begge retninger";"209";"100140";"40";"113";"Ja";"46";"150";"06:30:00";"08:59:00";"15:00:00";"16:59:00";"Første passering gjelder";"60";"230301";"Ja";"2019";"";"109416";"";"Stat, Statens vegvesen";"Kommune";"POINT (263136.92 6651494.756)";"Oslo";"301";"Oslo";"3";"";"";"KV16161 S1D1 m230";"Kommunal veg";"Eksisterende";"16161";"1";"1";"230,294";"230,294";"605242";"0,1079177";"0,1079177";"WITH";"";"";"enkelBilveg";"0";"";"";"POINT Z(263136.752 6651494.798 57.688)";"";"";"ukj";"100";"99";"";"-1";"-1"
"929790764";"45";"7";"1";"";"2025-01-02";"";"2025-06-16T22:36:40";"AutoPASS + automatisk";"Fjellinjen AS";"Fritjof Nansens vei";"";"www.fjellinjen.no";"Begge retninger";"34";"100140";"40";"113";"Ja";"46";"150";"06:30:00";"08:59:00";"15:00:00";"16:59:00";"Første passering gjelder";"60";"230301";"Ja";"2019";"";"109416";"";"Stat, Statens vegvesen";"Kommune";"POINT Z(260152.49 6651498.053 50.57)";"Oslo";"301";"Oslo";"3";"";"";"KV11995 S1D1 m388";"Kommunal veg";"Eksisterende";"11995";"1";"1";"387,82";"387,82";"604031";"0,75694174";"0,75694174";"WITH";"";"";"kanalisertVeg";"0";"";"";"POINT Z(260152.7 6651498.18 49.645)";"";"2018-12-20";"sat";"2";"0";"sat";"2";"-1"
"929790765";"45";"7";"1";"";"2025-01-02";"";"2025-06-16T22:36:40";"AutoPASS + automatisk";"Fjellinjen AS";"St. Halvards gate";"";"www.fjellinjen.no";"Begge retninger";"224";"100140";"40";"113";"Ja";"46";"150";"06:30:00";"08:59:00";"15:00:00";"16:59:00";"Første passering gjelder";"60";"230301";"Ja";"2019";"";"109416";"";"Stat, Statens vegvesen";"Kommune";"POINT Z(264103.361 6648622.242 37.579)";"Oslo";"301";"Oslo";"3";"";"";"KV16931 S2D1 m46";"Kommunal veg";"Eksisterende";"16931";"2";"1";"46,145";"46,145";"605424";"0,38782777";"0,38782777";"WITH";"";"";"kanalisertVeg";"0";"";"";"POINT Z(264103.482 6648622.044 37.76)";"";"2018-12-20";"sat";"2";"0";"sat";"2";"-1"
